method,model,roc_auc,accuracy,precision,recall,f1,fpr,fnr,dem_parity_diff,equal_opp_diff,equalized_odds
Reweighing,LR,0.8425,0.7773,0.2764,0.7447,0.4031,0.219,0.2553,0.1147,0.2812,0.2812
Reweighing,RF,0.8838,0.9103,0.5729,0.4375,0.4961,0.0366,0.5625,0.0303,0.15,0.15
Reweighing,XGB,0.8667,0.8434,0.3538,0.6669,0.4624,0.1368,0.3331,0.1811,0.3614,0.3614
SMOTE,LR,0.822,0.8655,0.3774,0.5114,0.4343,0.0948,0.4886,0.1266,0.3242,0.3242
SMOTE,RF,0.8783,0.9079,0.5626,0.3941,0.4635,0.0344,0.6059,0.0582,0.2375,0.2375
SMOTE,XGB,0.8825,0.9147,0.6214,0.3979,0.4851,0.0272,0.6021,0.0194,0.175,0.175
ThresholdOpt,LR,0.8499,0.8641,0.3824,0.5625,0.4553,0.1021,0.4375,0.0481,0.129,0.129
ThresholdOpt,RF,0.8849,0.8967,0.4899,0.5556,0.5207,0.065,0.4444,0.0616,0.1714,0.1714
ThresholdOpt,XGB,0.8683,0.7819,0.2886,0.7912,0.4229,0.2191,0.2088,0.2391,0.25,0.25
