method,model,dem_parity_diff,equal_opp_diff,equalized_odds,fpr_gap,fnr_gap
Baseline,LR,0.2357,0.3393,0.3393,0.2483,0.3393
Baseline,RF,0.0479,0.1571,0.1571,0.0325,0.1571
Baseline,XGB,0.0523,0.4437,0.4437,0.0589,0.4437
Reweighing,LR,0.0125,0.2875,0.2875,0.0201,0.2875
Reweighing,RF,0.0217,0.3125,0.3125,0.0201,0.3125
Reweighing,XGB,0.0536,0.2125,0.2125,0.0503,0.2125
ExpGradient,LR,0.0548,0.3,0.3,0.0302,0.3
ExpGradient,RF,0.0262,0.275,0.275,0.0251,0.275
ExpGradient,XGB,0.0491,0.1688,0.1688,0.0452,0.1687
ThresholdOpt,LR,0.0103,0.4,0.4,0.0142,0.4
ThresholdOpt,RF,0.0439,0.1786,0.1786,0.0312,0.1786
ThresholdOpt,XGB,0.2157,0.25,0.25,0.226,0.25
