method,model,accuracy,precision,recall,f1,roc_auc,fpr,fnr,dem_parity_diff,equal_opp_diff,equalized_odds,fpr_gap,fnr_gap
Reweighing,LR,0.909,0.6343,0.234,0.3419,0.8478,0.0152,0.766,0.0125,0.2875,0.2875,0.0201,0.2875
Reweighing,RF,0.9172,0.7576,0.2645,0.3921,0.8845,0.0095,0.7355,0.0217,0.3125,0.3125,0.0201,0.3125
Reweighing,XGB,0.9149,0.6346,0.372,0.469,0.8762,0.0241,0.628,0.0536,0.2125,0.2125,0.0503,0.2125
ExpGradient,LR,0.9086,0.6278,0.234,0.3409,0.6107,0.0156,0.766,0.0548,0.3,0.3,0.0302,0.3
ExpGradient,RF,0.9166,0.688,0.3194,0.4362,0.6567,0.0163,0.6806,0.0262,0.275,0.275,0.0251,0.275
ExpGradient,XGB,0.9137,0.6169,0.3841,0.4735,0.7375,0.0268,0.6159,0.0491,0.1688,0.1688,0.0452,0.1687
ThresholdOpt,LR,0.9049,0.6246,0.1471,0.2381,0.8499,0.0099,0.8529,0.0103,0.4,0.4,0.0142,0.4
ThresholdOpt,RF,0.9099,0.5679,0.4527,0.5038,0.8849,0.0387,0.5473,0.0439,0.1786,0.1786,0.0312,0.1786
ThresholdOpt,XGB,0.7854,0.2912,0.7843,0.4247,0.8683,0.2145,0.2157,0.2157,0.25,0.25,0.226,0.25
